"T cell, CD4, TH1",41.22504598,43.95392401,45.739467,46.87731158,48.23288009,50.70008492,53.10943257,54.71094121,55.27257594,55.86887411,56.48406318,56.65768209,57.89849159,58.35304716,58.57454713,58.62833706,58.90045156,60.15224954,60.35028332,61.08527921,61.89268691,61.98989368,62.81470355,62.97546451,63.6277289,63.76875512,63.77672827,63.83690919,63.89017585,65.25750956,65.39202399,65.9565957,66.42828923,67.0647992,67.21527265,67.41930854,69.10233606,69.35059549,69.75262485,69.88294961,70.68370747,71.14828173,71.1719553,71.86552458,72.61535751,72.99784583,73.13208457,73.78576585,74.0625911,76.52333104,77.37114794,77.40655564,77.76214788,78.04823402,78.05747813,78.14317919,78.80777515,79.18683305,79.23699463,79.83663906,80.43320591,80.46718434,80.55166263,80.84014632,82.4754172,84.68364187,85.80047717,86.72140463,87.3077583,87.40514387,88.65381814,90.24416235,92.3309912,92.51839542,95.98491591,101.7456994,103.6521049,103.6849279,106.8657365,110.5970489,115.866431,0,0,0,0,0,0,0,0,0,0
"T cell, CD4, TH17",80.10680028,81.65082439,82.1602793,83.05173444,84.09911616,87.01923798,89.30897009,89.54983585,90.86000011,94.36552689,94.87486932,94.97492493,95.52932166,96.44619525,96.8894771,97.08092565,97.78028892,98.37043905,98.66284194,98.92855041,99.28180288,100.5577189,100.6402532,101.9257352,103.6681835,103.9306811,104.1341071,105.0340977,107.504528,107.5226362,108.0011091,108.463858,109.5087743,110.0366686,110.4269078,111.2221039,111.2845905,111.6716605,112.0790498,113.3520554,113.9126615,114.0694082,114.4307602,115.3155208,115.3864923,116.4778047,116.7461265,117.0943962,117.2859254,117.4928916,119.5572166,119.9585079,120.1031715,121.066397,121.7686095,121.8147529,122.8469492,123.3936644,123.5640266,123.8167983,124.3775256,125.6371179,126.5333431,126.9559094,127.2801031,128.0481326,129.6737884,130.8578603,130.9239643,133.7563794,134.164304,135.9584364,136.8881725,140.637789,141.1833289,143.7311896,143.9091194,144.4140171,146.0768885,146.3347431,151.9378324,152.4570636,153.9323306,156.2458288,156.3025297,162.726988,163.3765201,167.3877448,182.2501231,0,0
"T cell, CD4, memory TREG",115.3630626,119.6241046,119.8529401,121.6998246,123.0392786,124.7091416,128.8689667,128.9216027,134.3230776,137.1874448,138.6379871,138.9043016,140.3596782,141.4075763,142.3164523,144.7820564,146.3944984,146.4418835,146.5908723,147.3157015,148.2051093,148.7398756,150.4856581,152.2783309,152.4860063,153.6180426,153.7823652,154.2375877,154.6880943,155.3803225,156.6631252,157.3254054,158.3323138,159.3558215,159.8093398,160.0735007,161.6830832,161.788858,162.9097069,163.7694763,163.978905,165.0529788,166.1597784,166.2211182,167.2345663,168.3973248,168.6671824,168.8568471,170.0540886,170.7035759,171.1935087,171.3323794,171.957841,172.4401828,172.9769668,173.5738025,173.7430666,173.9974356,174.1594438,175.0400579,175.3072898,175.3273839,177.9776808,178.4051284,178.8626638,179.4979403,180.8064329,182.655919,184.6140386,185.0857654,189.5966589,189.6476179,190.4939873,191.9827021,192.3451704,195.2366781,195.7682715,199.4833941,200.2371469,203.3239867,208.5102618,208.8164837,212.9976858,217.5459679,222.3386851,223.076773,225.119069,237.4330048,242.3920695,0,0
"T cell, CD4, naive TREG",53.71914146,54.91018688,55.97270208,58.31772294,59.73005254,59.77722015,60.31202349,60.40726739,60.49662,60.50569152,61.34074471,61.55668755,62.07749481,63.11896109,63.36379917,63.56416343,64.32929121,65.10062148,65.14820486,65.17397183,65.67917618,66.33775752,66.84021486,67.00494517,67.12420782,68.09000424,68.69472036,68.80576275,68.90878619,69.05860906,69.38828108,69.61222355,69.79959337,70.05480416,70.09176356,71.21191605,71.30461296,71.96944871,72.37440199,73.01998836,73.40322984,73.71824307,74.79749771,74.982928,74.99486512,75.48443253,75.52751708,76.21270097,76.34383973,77.14550838,77.24108223,77.52419379,77.82570093,78.21477971,78.86321154,79.36642489,79.39165584,79.40110228,80.13699764,80.2855884,81.22026249,81.47959911,81.52492572,81.92610119,82.16726904,82.40770771,83.12303797,86.7656207,87.35100601,87.65062261,87.76636983,89.12159955,90.43475745,91.25133011,92.13102333,92.98125535,94.00712741,94.16275951,94.51277025,95.21597395,95.44020814,96.08488561,96.99369432,97.8773759,99.95704977,100.7631004,103.7971536,105.263813,108.6413476,0,0
"T cell, CD4, naive [activated]",431.3648113,431.5913281,434.0376155,438.3969543,450.9215675,457.9804161,460.623099,490.8015384,499.6509235,504.6674675,511.8118334,513.9263563,514.168685,518.6208109,519.3680507,522.1015088,525.9208905,526.437785,527.0058602,533.0558758,538.2902377,539.770642,540.5389477,543.1256093,543.3472425,548.499191,556.6555905,559.5557332,561.1647755,562.8372033,565.9146276,580.3209056,586.6201347,587.1193337,590.2899735,590.9072556,596.4309321,596.8397431,596.9681834,597.6474901,599.2822845,602.4929716,604.6822907,605.426922,607.0367487,607.4371362,608.9823735,610.4996683,612.329888,614.669904,616.8107676,617.0100247,622.1826087,622.7686389,624.8300578,632.4839707,632.732411,637.7944893,642.7907751,647.2860792,648.4292965,650.2736769,653.7452449,654.8187051,655.0783817,670.7090181,674.2981059,679.6372866,683.7415786,699.5423994,705.4167818,706.9425257,714.8356275,716.2552436,716.752799,718.3271955,721.1020577,724.7565719,737.3085112,738.4897101,740.388203,756.7771852,760.0071572,773.2938079,817.060768,843.2173418,844.8047916,883.4505211,0,0,0
"T cell, CD4, TFH",40.58393914,42.55508532,45.4947628,48.18379186,48.53723226,48.53918786,49.12775059,49.67849507,50.34272562,50.5343146,51.31164635,51.48788493,52.02326139,52.86899432,53.32018766,53.35630703,55.58936689,55.59362748,55.63667901,56.36727723,56.49685255,56.6079375,58.07691693,58.94002415,59.45394269,60.14577347,60.15671365,60.73835384,60.85520872,60.97085345,61.78205803,63.94145239,64.0244156,64.32294177,64.53509177,65.38486897,65.66173865,66.04482537,66.62343671,66.65778028,68.22462831,68.95340555,70.39199891,70.46103983,70.47433001,70.80958107,70.90226391,70.93808523,71.09098051,71.45277396,71.75421217,71.97965906,73.12135531,73.3785629,73.68419557,73.87376962,74.06266392,74.19684298,74.61498996,74.91547539,76.17169664,76.48479483,76.53758512,77.44670644,78.22384183,78.39968195,78.54196165,78.8622763,79.09653661,79.61303962,80.58099456,80.65373129,81.31068288,82.11720691,83.34045817,83.87589231,84.66478855,84.7789457,86.85298317,87.33926607,90.56788265,93.4804235,93.62991387,93.9815459,95.22450046,95.68094021,96.16203808,101.4627545,114.3825051,0,0
"B cell, naive",39.17730832,49.95652649,54.21784447,56.40233631,56.61037549,57.50579607,57.59595918,57.70425649,57.74413717,58.55570899,59.20736165,61.21332674,61.47142636,61.51006913,63.00637284,64.04119668,64.24843079,65.5277053,65.92853145,66.00714748,66.26307964,66.33059397,66.43305523,66.96607268,67.09107311,68.48322837,68.5554877,69.63603036,69.9421385,70.11471904,70.54611802,70.87788915,71.17728837,71.4694721,71.57436444,72.36704038,72.60066767,72.82359496,72.91681999,72.97129795,73.19511979,73.38440199,73.48231562,74.11815245,74.52436896,74.77323778,75.46559889,75.69096832,76.16868786,76.41245527,77.83629369,77.91811853,77.92423174,78.05671372,78.3866953,78.98899564,78.99230436,79.01731292,79.09584966,79.74287222,80.7206026,80.92822563,81.24197958,81.93387324,82.89652195,83.5922056,84.54353487,85.10460031,85.3516473,85.35529201,86.1518989,86.31780747,86.95665967,87.48338505,87.51358777,87.61654155,88.47785751,89.04026328,94.86575891,95.62655519,96.83217085,99.60570638,101.0031512,102.9172898,104.0610081,107.5039285,107.7091395,123.4182204,132.9451693,136.8284993,145.1526992
"T cell, CD4, TH2",75.7793603,78.63395489,79.68841689,80.89395908,86.68192803,88.12668036,90.17007384,90.43310015,91.52372994,91.8331998,92.12036331,92.16128391,93.18422542,93.79798204,95.8996307,96.2174133,98.13829379,98.45268985,99.60629385,99.77810369,100.005963,100.1124217,100.4121306,100.7154731,101.8297376,102.2231289,102.326513,103.7146961,104.6282728,105.4735585,106.1343057,106.2660762,106.7568794,107.9388464,108.7220378,109.0310415,111.5178298,112.4842705,116.0505779,116.1624714,116.8143129,116.8968994,116.9303207,117.1111511,117.904008,119.3405572,119.9715729,120.5980445,121.5583273,124.7228744,124.8370783,125.4203931,125.6186281,126.8656779,127.6674548,127.69886,128.162659,128.2467582,130.2713033,130.6479773,131.2647576,131.316549,132.490065,133.0007952,133.4660638,133.9027061,134.4996142,134.677498,135.6512391,135.9267513,136.0715942,136.7488559,136.7877317,137.9151621,138.9868761,142.1400874,143.7172797,143.8440971,144.5964749,146.2500289,146.74412,152.4665076,152.7205022,153.2342085,153.5812314,155.2494566,155.7022988,165.9048034,191.8775669,0,0
"Monocyte, classical",42.0088345,58.47664156,63.59160872,68.30122219,72.53797373,74.47384293,75.12703998,76.36268692,76.39232786,79.68431244,79.81678776,80.7156591,81.30016281,81.32204022,81.66695436,82.41044613,86.0977984,86.89533401,86.91977483,87.08926665,87.52367186,88.5992901,88.68756997,89.24126298,89.52751938,90.25460361,96.8229059,97.07793005,97.71423886,98.51285582,98.57877698,98.90597742,100.3091777,100.7366891,103.8697786,105.7299702,106.7504864,107.1718039,109.1381807,110.1060499,112.9114613,113.1840711,114.4230597,114.5601695,114.6138835,116.0063527,116.0533471,118.3887429,119.2119924,120.8087466,123.2410458,123.6457426,124.7583846,124.8005457,125.5263056,129.117146,134.4676276,134.9064491,136.2972358,138.2600144,138.9283516,139.8483127,141.2119143,145.5742513,148.5106987,152.2416334,154.1742036,154.4551232,156.1033235,156.4838073,158.1603882,158.555055,159.6075392,159.6403067,160.9937572,161.5634605,162.6182737,168.0358785,168.6558181,173.6124336,176.1756721,179.9213275,182.6751199,190.0885917,195.5183269,204.2391519,217.8699309,219.6446649,228.6050907,299.2016543,322.7678435
"T cell, CD8, naive",35.45519022,37.39375474,39.89577359,39.94067673,40.68937167,41.00163438,41.37262083,41.97381121,42.01999188,42.1812217,42.68915367,43.0585554,43.38499661,43.60296396,43.80663909,43.843651,43.96561699,44.16763014,44.60491652,45.00138716,45.34956613,45.38932838,45.41523609,45.47405367,45.60894648,45.68751183,45.898587,46.27942745,46.33097873,46.49491036,46.77359593,47.56056019,47.6070198,48.34277548,48.36247583,48.68863976,48.71636727,49.13890474,49.29409615,49.45514106,50.30951365,50.52241564,50.98030456,51.25099832,51.60631733,51.6639087,52.09037977,52.31094395,52.60846441,52.82550552,52.95688085,53.01555057,53.10620743,53.49260972,53.64266341,53.74088372,54.10059939,54.420903,54.67405923,55.07048569,55.4103638,55.57387148,55.92657403,56.70047214,56.98117412,57.24375156,58.73313995,58.97121774,59.15843753,59.69145903,60.70939721,61.19016578,61.37720645,61.55644487,61.66007392,61.93800527,62.56072509,64.63195728,65.55860313,67.45631143,68.03461891,68.42845843,68.4814868,68.50299547,69.66260507,69.78380265,69.91402275,75.57971305,93.88729968,0,0
